DateTime,Energy_consumption_kwh
2014-01-02 07:00:00.0000000, 0.243 
2014-01-02 07:30:00.0000000, 0.226 
2014-01-02 08:00:00.0000000, 0.229 
2014-01-02 08:30:00.0000000, 0.241 
2014-01-02 09:00:00.0000000, 0.073 
2014-01-02 09:30:00.0000000, 0 
2014-01-02 10:00:00.0000000, 0 
2014-01-02 10:30:00.0000000, 0 
2014-01-02 11:00:00.0000000, 0.044 
2014-01-02 11:30:00.0000000, 0 
2014-01-02 12:00:00.0000000, 0.019 
2014-01-02 12:30:00.0000000, 0 
2014-01-02 13:00:00.0000000, 0 
2014-01-02 13:30:00.0000000, 0 
2014-01-02 14:00:00.0000000, 0 
2014-01-02 14:30:00.0000000, 0.005 
2014-01-02 15:00:00.0000000, 0.008 
2014-01-02 15:30:00.0000000, 0.084 
2014-01-02 16:00:00.0000000, 0.089 
2014-01-02 16:30:00.0000000, 0.049 
2014-01-02 17:00:00.0000000, 0.153 
2014-01-02 17:30:00.0000000, 0.242 
2014-01-02 18:00:00.0000000, 0.155 
2014-01-02 18:30:00.0000000, 0.145 
2014-01-02 19:00:00.0000000, 0.174 
2014-01-02 19:30:00.0000000, 0.159 
2014-01-02 20:00:00.0000000, 0.144 
2014-01-02 20:30:00.0000000, 0.235 
2014-01-02 21:00:00.0000000, 0.22 
2014-01-02 21:30:00.0000000, 0.17 
2014-01-02 22:00:00.0000000, 0.173 
2014-01-02 22:30:00.0000000, 0.19 
2014-01-02 23:00:00.0000000, 0.22 
2014-01-02 23:30:00.0000000, 0.227 
2014-01-03 00:00:00.0000000, 0.225 
2014-01-03 00:30:00.0000000, 0.265 
2014-01-03 01:00:00.0000000, 0.261 
2014-01-03 01:30:00.0000000, 0.208 
2014-01-03 02:00:00.0000000, 0.222 
2014-01-03 02:30:00.0000000, 0.219 
2014-01-03 03:00:00.0000000, 0.2 
2014-01-03 03:30:00.0000000, 0.222 
2014-01-03 04:00:00.0000000, 0.221 
2014-01-03 04:30:00.0000000, 0.196 
2014-01-03 05:00:00.0000000, 0.211 
2014-01-03 05:30:00.0000000, 0.232 
2014-01-03 06:00:00.0000000, 0.237 
2014-01-03 06:30:00.0000000, 0.247 
2014-01-03 07:00:00.0000000, 0.263 
2014-01-03 07:30:00.0000000, 0.232 
2014-01-03 08:00:00.0000000, 0.247 
2014-01-03 08:30:00.0000000, 0.248 
2014-01-03 09:00:00.0000000, 0.163 
2014-01-03 09:30:00.0000000, 0.01 
2014-01-03 10:00:00.0000000, 0 
2014-01-03 10:30:00.0000000, 0 
2014-01-03 11:00:00.0000000, 0.062 
2014-01-03 11:30:00.0000000, 0.034 
2014-01-03 12:00:00.0000000, 0.014 
2014-01-03 12:30:00.0000000, 0.028 
2014-01-03 13:00:00.0000000, 0.023 
2014-01-03 13:30:00.0000000, 0.004 
2014-01-03 14:00:00.0000000, 0.024 
2014-01-03 14:30:00.0000000, 0 
2014-01-03 15:00:00.0000000, 0.008 
2014-01-03 15:30:00.0000000, 0.062 
2014-01-03 16:00:00.0000000, 0.054 
2014-01-03 16:30:00.0000000, 0.039 
2014-01-03 17:00:00.0000000, 0.084 
2014-01-03 17:30:00.0000000, 0.108 
2014-01-03 18:00:00.0000000, 0.071 
2014-01-03 18:30:00.0000000, 0.091 
2014-01-03 19:00:00.0000000, 0.093 
2014-01-03 19:30:00.0000000, 0.089 
2014-01-03 20:00:00.0000000, 0.088 
2014-01-03 20:30:00.0000000, 0.094 
2014-01-03 21:00:00.0000000, 0.077 
2014-01-03 21:30:00.0000000, 0.057 
2014-01-03 22:00:00.0000000, 0.056 
2014-01-03 22:30:00.0000000, 0.039 
2014-01-03 23:00:00.0000000, 0.069 
2014-01-03 23:30:00.0000000, 0.057 
2014-01-04 00:00:00.0000000, 0.039 
2014-01-04 00:30:00.0000000, 0.059 
2014-01-04 01:00:00.0000000, 0.099 
2014-01-04 01:30:00.0000000, 0.039 
2014-01-04 02:00:00.0000000, 0.048 
2014-01-04 02:30:00.0000000, 0.062 
2014-01-04 03:00:00.0000000, 0.055 
2014-01-04 03:30:00.0000000, 0.046 
2014-01-04 04:00:00.0000000, 0.066 
2014-01-04 04:30:00.0000000, 0.04 
2014-01-04 05:00:00.0000000, 0.058 
2014-01-04 05:30:00.0000000, 0.077 
2014-01-04 06:00:00.0000000, 0.082 
2014-01-04 06:30:00.0000000, 0.078 
2014-01-04 07:00:00.0000000, 0.124 
2014-01-04 07:30:00.0000000, 0.076 
2014-01-04 08:00:00.0000000, 0.084 
2014-01-04 08:30:00.0000000, 0.11 
2014-01-04 09:00:00.0000000, 0.169 
2014-01-04 09:30:00.0000000, 0.035 
2014-01-04 10:00:00.0000000, 0.049 
2014-01-04 10:30:00.0000000, 0.01 
2014-01-04 11:00:00.0000000, 0.025 
2014-01-04 11:30:00.0000000, 0.043 
2014-01-04 12:00:00.0000000, 0.066 
2014-01-04 12:30:00.0000000, 0.069 
2014-01-04 13:00:00.0000000, 0.001 
2014-01-04 13:30:00.0000000, 0 
2014-01-04 14:00:00.0000000, 0 
2014-01-04 14:30:00.0000000, 0.045 
2014-01-04 15:00:00.0000000, 0.049 
2014-01-04 15:30:00.0000000, 0.073 
2014-01-04 16:00:00.0000000, 0.049 
2014-01-04 16:30:00.0000000, 0.06 
2014-01-04 17:00:00.0000000, 0.118 
2014-01-04 17:30:00.0000000, 0.169 
2014-01-04 18:00:00.0000000, 0.196 
2014-01-04 18:30:00.0000000, 0.157 
2014-01-04 19:00:00.0000000, 0.095 
2014-01-04 19:30:00.0000000, 0.11 
2014-01-04 20:00:00.0000000, 0.153 
2014-01-04 20:30:00.0000000, 0.118 
2014-01-04 21:00:00.0000000, 0.12 
2014-01-04 21:30:00.0000000, 0.118 
2014-01-04 22:00:00.0000000, 0.078 
2014-01-04 22:30:00.0000000, 0.079 
2014-01-04 23:00:00.0000000, 0.115 
2014-01-04 23:30:00.0000000, 0.084 
2014-01-05 00:00:00.0000000, 0.046 
2014-01-05 00:30:00.0000000, 0.077 
2014-01-05 01:00:00.0000000, 0.045 
2014-01-05 01:30:00.0000000, 0.063 
2014-01-05 02:00:00.0000000, 0.074 
2014-01-05 02:30:00.0000000, 0.049 
2014-01-05 03:00:00.0000000, 0.046 
2014-01-05 03:30:00.0000000, 0.079 
2014-01-05 04:00:00.0000000, 0.062 
2014-01-05 04:30:00.0000000, 0.047 
2014-01-05 05:00:00.0000000, 0.067 
2014-01-05 05:30:00.0000000, 0.062 
2014-01-05 06:00:00.0000000, 0.101 
2014-01-05 06:30:00.0000000, 0.104 
2014-01-05 07:00:00.0000000, 0.099 
2014-01-05 07:30:00.0000000, 0.086 
2014-01-05 08:00:00.0000000, 0.093 
2014-01-05 08:30:00.0000000, 0.119 
2014-01-05 09:00:00.0000000, 0.023 
2014-01-05 09:30:00.0000000, 0.003 
2014-01-05 10:00:00.0000000, 0 
2014-01-05 10:30:00.0000000, 0 
2014-01-05 11:00:00.0000000, 0 
2014-01-05 11:30:00.0000000, 0 
2014-01-05 12:00:00.0000000, 0 
2014-01-05 12:30:00.0000000, 0.005 
2014-01-05 13:00:00.0000000, 0.143 
2014-01-05 13:30:00.0000000, 0.035 
2014-01-05 14:00:00.0000000, 0.093 
2014-01-05 14:30:00.0000000, 0.067 
2014-01-05 15:00:00.0000000, 0.123 
2014-01-05 15:30:00.0000000, 0.08 
2014-01-05 16:00:00.0000000, 0.248 
2014-01-05 16:30:00.0000000, 0.087 
2014-01-05 17:00:00.0000000, 0.115 
2014-01-05 17:30:00.0000000, 0.155 
2014-01-05 18:00:00.0000000, 0.152 
2014-01-05 18:30:00.0000000, 0.159 
2014-01-05 19:00:00.0000000, 0.229 
2014-01-05 19:30:00.0000000, 0.148 
2014-01-05 20:00:00.0000000, 0.153 
2014-01-05 20:30:00.0000000, 0.164 
2014-01-05 21:00:00.0000000, 0.132 
2014-01-05 21:30:00.0000000, 0.1 
2014-01-05 22:00:00.0000000, 0.143 
2014-01-05 22:30:00.0000000, 0.104 
2014-01-05 23:00:00.0000000, 0.043 
2014-01-05 23:30:00.0000000, 0.061 
2014-01-06 00:00:00.0000000, 0.065 
2014-01-06 00:30:00.0000000, 0.404 
2014-01-06 01:00:00.0000000, 0.069 
2014-01-06 01:30:00.0000000, 0.063 
2014-01-06 02:00:00.0000000, 0.041 
2014-01-06 02:30:00.0000000, 0.049 
2014-01-06 03:00:00.0000000, 0.051 
2014-01-06 03:30:00.0000000, 0.049 
2014-01-06 04:00:00.0000000, 0.044 
2014-01-06 04:30:00.0000000, 0.055 
2014-01-06 05:00:00.0000000, 0.045 
2014-01-06 05:30:00.0000000, 0.047 
2014-01-06 06:00:00.0000000, 0.236 
2014-01-06 06:30:00.0000000, 0.105 
2014-01-06 07:00:00.0000000, 0.27 
2014-01-06 07:30:00.0000000, 0.39 
2014-01-06 08:00:00.0000000, 0.149 
2014-01-06 08:30:00.0000000, 0.114 
2014-01-06 09:00:00.0000000, 0.072 
2014-01-06 09:30:00.0000000, 0.023 
2014-01-06 10:00:00.0000000, 0.012 
2014-01-06 10:30:00.0000000, 0.012 
2014-01-06 11:00:00.0000000, 0.024 
2014-01-06 11:30:00.0000000, 0 
2014-01-06 12:00:00.0000000, 0 
2014-01-06 12:30:00.0000000, 0 
2014-01-06 13:00:00.0000000, 0.125 
2014-01-06 13:30:00.0000000, 0.001 
2014-01-06 14:00:00.0000000, 0 
2014-01-06 14:30:00.0000000, 0 
2014-01-06 15:00:00.0000000, 0.003 
2014-01-06 15:30:00.0000000, 0.011 
2014-01-06 16:00:00.0000000, 0.045 
2014-01-06 16:30:00.0000000, 0.085 
2014-01-06 17:00:00.0000000, 0.218 
2014-01-06 17:30:00.0000000, 0.23 
2014-01-06 18:00:00.0000000, 0.32 
2014-01-06 18:30:00.0000000, 0.301 
2014-01-06 19:00:00.0000000, 0.271 
2014-01-06 19:30:00.0000000, 0.432 
2014-01-06 20:00:00.0000000, 0.347 
2014-01-06 20:30:00.0000000, 0.325 
2014-01-06 21:00:00.0000000, 0.464 
2014-01-06 21:30:00.0000000, 0.307 
2014-01-06 22:00:00.0000000, 0.294 
2014-01-06 22:30:00.0000000, 0.291 
2014-01-06 23:00:00.0000000, 0.155 
2014-01-06 23:30:00.0000000, 0.062 
2014-01-07 00:00:00.0000000, 0.067 
2014-01-07 00:30:00.0000000, 0.067 
2014-01-07 01:00:00.0000000, 0.045 
2014-01-07 01:30:00.0000000, 0.075 
2014-01-07 02:00:00.0000000, 0.055 
2014-01-07 02:30:00.0000000, 0.049 
2014-01-07 03:00:00.0000000, 0.072 
2014-01-07 03:30:00.0000000, 0.041 
2014-01-07 04:00:00.0000000, 0.063 
2014-01-07 04:30:00.0000000, 0.062 
2014-01-07 05:00:00.0000000, 0.04 
2014-01-07 05:30:00.0000000, 0.055 
2014-01-07 06:00:00.0000000, 0.257 
2014-01-07 06:30:00.0000000, 0.119 
2014-01-07 07:00:00.0000000, 0.143 
2014-01-07 07:30:00.0000000, 0.402 
2014-01-07 08:00:00.0000000, 0.312 
2014-01-07 08:30:00.0000000, 0.19 
2014-01-07 09:00:00.0000000, 0.043 
2014-01-07 09:30:00.0000000, 0.078 
2014-01-07 10:00:00.0000000, 0.047 
2014-01-07 10:30:00.0000000, 0.046 
2014-01-07 11:00:00.0000000, 0.074 
2014-01-07 11:30:00.0000000, 0 
2014-01-07 12:00:00.0000000, 0.002 
2014-01-07 12:30:00.0000000, 0 
2014-01-07 13:00:00.0000000, 0 
2014-01-07 13:30:00.0000000, 0 
2014-01-07 14:00:00.0000000, 0.001 
2014-01-07 14:30:00.0000000, 0 
2014-01-07 15:00:00.0000000, 0 
2014-01-07 15:30:00.0000000, 0.025 
2014-01-07 16:00:00.0000000, 0.035 
2014-01-07 16:30:00.0000000, 0.058 
2014-01-07 17:00:00.0000000, 0.213 
2014-01-07 17:30:00.0000000, 0.274 
2014-01-07 18:00:00.0000000, 0.294 
2014-01-07 18:30:00.0000000, 0.305 
2014-01-07 19:00:00.0000000, 0.361 
2014-01-07 19:30:00.0000000, 0.353 
2014-01-07 20:00:00.0000000, 0.373 
2014-01-07 20:30:00.0000000, 0.365 
2014-01-07 21:00:00.0000000, 0.463 
2014-01-07 21:30:00.0000000, 0.439 
2014-01-07 22:00:00.0000000, 0.241 
2014-01-07 22:30:00.0000000, 0.173 
2014-01-07 23:00:00.0000000, 0.111 
2014-01-07 23:30:00.0000000, 0.043 
2014-01-08 00:00:00.0000000, 0.061 
